x,z,viewportX,viewportY,firstCollider,hitY,normalY,navTarget,pathComplete,allHits
-2,9,0.443,0.155,Courtyard collision paving,0.000,1.000,True,True,"Courtyard collision paving:28@0.000 | Click blocker Masonry batch 0:29@-0.104"
-1,9,0.416,0.168,Courtyard collision paving,0.000,1.000,True,True,"Courtyard collision paving:28@0.000 | Click blocker Masonry batch 0:29@-0.102"
0,9,0.389,0.181,Courtyard collision paving,0.000,1.000,True,True,"Courtyard collision paving:28@0.000 | Click blocker Masonry batch 0:29@-0.098"
1,9,0.362,0.194,Courtyard collision paving,0.000,1.000,True,True,"Courtyard collision paving:28@0.000 | Click blocker Masonry batch 0:29@-0.095"
2,9,0.336,0.207,Courtyard collision paving,0.000,1.000,True,True,"Courtyard collision paving:28@0.000 | Click blocker Masonry batch 0:29@-0.093"
3,9,0.309,0.221,Courtyard collision paving,0.000,1.000,True,True,"Courtyard collision paving:28@0.000 | Click blocker Masonry batch 0:29@-0.094 | Click blocker Masonry batch 2:29@-19.876"
4,9,0.282,0.234,Click blocker Masonry batch 9,0.066,0.644,True,True,"Click blocker Masonry batch 9:29@0.066 | Courtyard collision paving:28@0.000 | Click blocker Masonry batch 0:29@-0.096 | Click blocker Masonry batch 2:29@-21.024"
5,9,0.255,0.247,Courtyard collision paving,0.000,1.000,True,True,"Courtyard collision paving:28@0.000 | Click blocker Masonry batch 0:29@-0.103 | Click blocker Masonry batch 2:29@-19.921"
6,9,0.228,0.260,Click blocker Masonry batch 0,-0.115,1.000,True,True,"Click blocker Masonry batch 0:29@-0.115 | Click blocker Masonry batch 1:29@-20.744"
-6,10,0.537,0.075,Gateway pier,0.538,0.000,False,False,"Gateway pier:29@0.538 | Courtyard collision paving:28@0.000 | Click blocker Masonry batch 0:29@-0.110 | Click blocker Masonry batch 10:29@-25.003"
-5,10,0.511,0.088,Courtyard collision paving,0.000,1.000,True,True,"Courtyard collision paving:28@0.000 | Click blocker Masonry batch 0:29@-0.110 | Click blocker Masonry batch 10:29@-24.350"
-4,10,0.484,0.102,Courtyard collision paving,0.000,1.000,False,False,"Courtyard collision paving:28@0.000 | Click blocker Masonry batch 0:29@-0.107 | Click blocker Masonry batch 10:29@-24.406"
-3,10,0.457,0.115,Courtyard collision paving,0.000,1.000,True,True,"Courtyard collision paving:28@0.000 | Click blocker Masonry batch 0:29@-0.104"
-2,10,0.430,0.128,Courtyard collision paving,0.000,1.000,True,True,"Courtyard collision paving:28@0.000 | Click blocker Masonry batch 0:29@-0.105"
-1,10,0.403,0.141,Courtyard collision paving,0.000,1.000,True,True,"Courtyard collision paving:28@0.000 | Click blocker Masonry batch 0:29@-0.102"
0,10,0.376,0.154,Courtyard collision paving,0.000,1.000,True,True,"Courtyard collision paving:28@0.000 | Click blocker Masonry batch 0:29@-0.098"
1,10,0.349,0.168,Courtyard collision paving,0.000,1.000,True,True,"Courtyard collision paving:28@0.000 | Click blocker Masonry batch 0:29@-0.095"
2,10,0.322,0.181,Courtyard collision paving,0.000,1.000,True,True,"Courtyard collision paving:28@0.000 | Click blocker Masonry batch 0:29@-0.093 | Click blocker Masonry batch 2:29@-21.298"
3,10,0.295,0.194,Courtyard collision paving,0.000,1.000,True,True,"Courtyard collision paving:28@0.000 | Click blocker Masonry batch 0:29@-0.095"
4,10,0.268,0.207,Courtyard collision paving,0.000,1.000,True,True,"Courtyard collision paving:28@0.000 | Click blocker Masonry batch 0:29@-0.098 | Click blocker Masonry batch 2:29@-21.062"
5,10,0.242,0.220,Courtyard collision paving,0.000,1.000,True,True,"Courtyard collision paving:28@0.000 | Click blocker Masonry batch 0:29@-0.100"
6,10,0.215,0.233,Courtyard collision paving,0.000,1.000,True,True,"Courtyard collision paving:28@0.000 | Click blocker Masonry batch 0:29@-0.112 | Click blocker Masonry batch 1:29@-21.071"
