x,z,groundY,normalY,firstCollider,navDistance,complete
5,3,8.259,0.587,Click blocker Sculpted_bark_roots_and_fine_branches,-1.000,False
6,3,7.020,0.656,Click blocker Sculpted_bark_roots_and_fine_branches,-1.000,False
7,3,5.992,0.990,Click blocker Sculpted_bark_roots_and_fine_branches,-1.000,False
8,3,4.700,0.699,Click blocker Sculpted_bark_roots_and_fine_branches,-1.000,False
9,3,1.354,1.000,Click blocker Masonry batch 0,-1.000,False
-9,4,2.447,1.000,Click blocker Masonry batch 1,-1.000,False
-8,4,0.180,0.434,Click blocker Masonry batch 1,-1.000,False
-7,4,-0.131,1.000,Click blocker Masonry batch 0,0.061,True
-6,4,-0.114,1.000,Click blocker Masonry batch 0,0.091,True
-5,4,-0.106,1.000,Click blocker Masonry batch 0,0.030,True
-4,4,-0.100,1.000,Click blocker Masonry batch 0,0.024,True
-3,4,-0.100,1.000,Click blocker Masonry batch 0,0.024,True
-2,4,-0.100,1.000,Click blocker Masonry batch 0,0.025,True
-1,4,-0.101,1.000,Click blocker Masonry batch 0,0.020,True
0,4,-0.105,1.000,Click blocker Masonry batch 0,0.026,True
1,4,-0.102,1.000,Click blocker Masonry batch 0,0.022,True
2,4,-0.100,1.000,Click blocker Masonry batch 0,0.019,True
3,4,-0.103,1.000,Click blocker Masonry batch 0,0.022,True
4,4,-0.104,1.000,Click blocker Masonry batch 0,0.022,True
5,4,-0.109,1.000,Click blocker Masonry batch 0,0.140,True
6,4,2.955,0.181,Click blocker Sculpted_bark_roots_and_fine_branches,-1.000,False
7,4,7.404,0.837,Click blocker Sculpted_bark_roots_and_fine_branches,-1.000,False
8,4,7.945,0.774,Click blocker Sculpted_bark_roots_and_fine_branches,-1.000,False
9,4,2.662,1.000,Click blocker Masonry batch 1,-1.000,False
-9,5,2.685,0.999,Click blocker Masonry batch 6,-1.000,False
-8,5,0.299,1.000,Click blocker Masonry batch 1,-1.000,False
-7,5,-0.126,1.000,Click blocker Masonry batch 0,0.236,True
-6,5,-0.115,1.000,Click blocker Masonry batch 0,0.075,True
-5,5,-0.104,1.000,Click blocker Masonry batch 0,0.047,True
-4,5,-0.100,1.000,Click blocker Masonry batch 0,0.038,True
-3,5,-0.101,1.000,Click blocker Masonry batch 0,0.034,True
-2,5,-0.101,1.000,Click blocker Masonry batch 0,0.029,True
-1,5,-0.101,1.000,Click blocker Masonry batch 0,0.025,True
0,5,-0.099,1.000,Click blocker Masonry batch 0,0.251,True
1,5,-0.100,1.000,Click blocker Masonry batch 0,0.021,True
2,5,-0.098,1.000,Click blocker Masonry batch 0,0.019,True
3,5,-0.097,1.000,Click blocker Masonry batch 0,0.018,True
4,5,-0.099,1.000,Click blocker Masonry batch 0,0.020,True
5,5,0.029,0.988,Click blocker TreeV16 root entry covers,0.569,True
6,5,0.049,0.621,Click blocker Sculpted_bark_roots_and_fine_branches,-1.000,False
7,5,1.362,0.284,Click blocker Sculpted_bark_roots_and_fine_branches,-1.000,False
8,5,5.031,0.490,Click blocker Sculpted_bark_roots_and_fine_branches,-1.000,False
9,5,3.865,0.787,Click blocker Sculpted_bark_roots_and_fine_branches,-1.000,False
-9,6,0.838,1.000,Click blocker Masonry batch 6,-1.000,False
-8,6,-0.125,1.000,Click blocker Masonry batch 0,-1.000,False
-7,6,-0.120,1.000,Click blocker Masonry batch 0,-1.000,False
-6,6,-0.112,1.000,Click blocker Masonry batch 0,0.073,True
-5,6,-0.102,1.000,Click blocker Masonry batch 0,0.010,True
-4,6,-0.101,1.000,Click blocker Masonry batch 0,0.017,True
-3,6,-0.101,1.000,Click blocker Masonry batch 0,0.022,True
-2,6,-0.102,1.000,Click blocker Masonry batch 0,0.023,True
-1,6,-0.102,1.000,Click blocker Masonry batch 0,0.023,True
0,6,-0.099,1.000,Click blocker Masonry batch 0,0.022,True
1,6,-0.096,1.000,Click blocker Masonry batch 0,0.017,True
2,6,-0.094,1.000,Click blocker Masonry batch 0,0.305,True
3,6,-0.093,1.000,Click blocker Masonry batch 0,0.163,True
4,6,-0.098,1.000,Click blocker Masonry batch 0,0.019,True
5,6,-0.108,1.000,Click blocker Masonry batch 0,0.012,True
6,6,0.078,0.990,Click blocker Masonry batch 9,0.562,True
7,6,-0.143,1.000,Click blocker Masonry batch 0,0.198,True
8,6,-0.152,1.000,Click blocker Masonry batch 0,-1.000,False
9,6,1.352,1.000,Click blocker Masonry batch 0,-1.000,False
-9,7,1.354,1.000,Click blocker Masonry batch 1,-1.000,False
-8,7,0.202,0.090,Click blocker Masonry batch 8,-1.000,False
-7,7,-0.114,1.000,Click blocker Masonry batch 0,0.254,True
-6,7,-0.106,1.000,Click blocker Masonry batch 0,0.014,True
-5,7,-0.101,1.000,Click blocker Masonry batch 0,0.023,True
-4,7,-0.101,1.000,Click blocker Masonry batch 0,0.023,True
-3,7,-0.102,1.000,Click blocker Masonry batch 0,0.023,True
-2,7,-0.102,1.000,Click blocker Masonry batch 0,0.024,True
-1,7,-0.102,1.000,Click blocker Masonry batch 0,0.016,True
0,7,-0.098,1.000,Click blocker Masonry batch 0,0.025,True
1,7,-0.096,1.000,Click blocker Masonry batch 0,0.019,True
2,7,-0.093,1.000,Click blocker Masonry batch 0,0.015,True
3,7,-0.091,1.000,Click blocker Masonry batch 0,0.012,True
4,7,-0.097,1.000,Click blocker Masonry batch 0,0.018,True
5,7,-0.109,1.000,Click blocker Masonry batch 0,0.030,True
6,7,-0.121,1.000,Click blocker Masonry batch 0,0.079,True
7,7,-0.133,1.000,Click blocker Masonry batch 0,0.133,True
8,7,-0.143,1.000,Click blocker Masonry batch 0,-1.000,False
9,7,1.354,1.000,Click blocker Masonry batch 0,-1.000,False
-9,8,1.277,1.000,Click blocker Masonry batch 6,-1.000,False
-8,8,-0.128,1.000,Click blocker Masonry batch 0,-1.000,False
-7,8,-0.107,1.000,Click blocker Masonry batch 0,0.096,True
-6,8,-0.103,1.000,Click blocker Masonry batch 0,0.256,True
-5,8,-0.104,1.000,Click blocker Masonry batch 0,0.025,True
-4,8,-0.102,1.000,Click blocker Masonry batch 0,0.023,True
-3,8,-0.103,1.000,Click blocker Masonry batch 0,0.024,True
-2,8,-0.103,1.000,Click blocker Masonry batch 0,0.024,True
-1,8,-0.102,1.000,Click blocker Masonry batch 0,0.017,True
0,8,-0.098,1.000,Click blocker Masonry batch 0,0.028,True
1,8,-0.096,1.000,Click blocker Masonry batch 0,0.022,True
2,8,-0.093,1.000,Click blocker Masonry batch 0,0.015,True
3,8,-0.092,1.000,Click blocker Masonry batch 0,0.013,True
4,8,-0.094,1.000,Click blocker Masonry batch 0,0.015,True
5,8,-0.105,1.000,Click blocker Masonry batch 0,0.027,True
6,8,-0.118,1.000,Click blocker Masonry batch 0,0.256,True
7,8,-0.135,1.000,Click blocker Masonry batch 0,0.302,True
8,8,0.274,0.990,Click blocker Masonry batch 8,-1.000,False
9,8,1.266,1.000,Click blocker Masonry batch 6,-1.000,False
-9,9,1.352,1.000,Click blocker Masonry batch 1,-1.000,False
-8,9,0.294,0.991,Click blocker Masonry batch 8,-1.000,False
-7,9,-0.107,1.000,Click blocker Masonry batch 0,0.177,True
-6,9,-0.106,1.000,Click blocker Masonry batch 0,0.064,True
-5,9,-0.107,1.000,Click blocker Masonry batch 0,0.008,True
-4,9,-0.105,1.000,Click blocker Masonry batch 0,0.026,True
-3,9,-0.104,1.000,Click blocker Masonry batch 0,0.025,True
-2,9,-0.104,1.000,Click blocker Masonry batch 0,0.008,True
-1,9,-0.102,1.000,Click blocker Masonry batch 0,0.021,True
0,9,-0.099,1.000,Click blocker Masonry batch 0,0.031,True
1,9,-0.095,1.000,Click blocker Masonry batch 0,0.024,True
2,9,-0.093,1.000,Click blocker Masonry batch 0,0.018,True
3,9,-0.094,1.000,Click blocker Masonry batch 0,0.015,True
4,9,0.080,0.992,Click blocker Masonry batch 9,0.535,True
5,9,-0.102,1.000,Click blocker Masonry batch 0,0.016,True
6,9,-0.114,1.000,Click blocker Masonry batch 0,0.008,True
7,9,-0.136,1.000,Click blocker Masonry batch 0,0.105,True
8,9,0.284,1.000,Click blocker Masonry batch 8,-1.000,False
9,9,1.352,1.000,Click blocker Masonry batch 0,-1.000,False
-9,10,1.354,1.000,Click blocker Masonry batch 1,-1.000,False
-8,10,-0.132,1.000,Click blocker Masonry batch 0,-1.000,False
-7,10,-0.114,1.000,Click blocker Masonry batch 0,0.443,True
-6,10,2.825,1.000,Gateway lintel,-1.000,False
-5,10,2.825,1.000,Gateway lintel,-1.000,False
-4,10,2.825,1.000,Gateway lintel,-1.000,False
-3,10,-0.105,1.000,Click blocker Masonry batch 0,0.019,True
-2,10,-0.105,1.000,Click blocker Masonry batch 0,0.011,True
-1,10,-0.103,1.000,Click blocker Masonry batch 0,0.024,True
0,10,-0.099,1.000,Click blocker Masonry batch 0,0.034,True
1,10,-0.095,1.000,Click blocker Masonry batch 0,0.027,True
2,10,-0.093,1.000,Click blocker Masonry batch 0,0.022,True
3,10,-0.096,1.000,Click blocker Masonry batch 0,0.020,True
4,10,-0.098,1.000,Click blocker Masonry batch 0,0.019,True
5,10,-0.100,1.000,Click blocker Masonry batch 0,0.036,True
6,10,-0.111,1.000,Click blocker Masonry batch 0,0.173,True
7,10,-0.133,1.000,Click blocker Masonry batch 0,0.200,True
8,10,0.259,0.972,Click blocker Masonry batch 8,-1.000,False
9,10,1.354,0.999,Click blocker Masonry batch 0,-1.000,False
-9,11,3.201,0.999,Click blocker Masonry batch 7,-1.000,False
-8,11,0.300,1.000,Click blocker Masonry batch 1,-1.000,False
-7,11,-0.122,1.000,Click blocker Masonry batch 0,0.016,True
-6,11,0.098,0.991,Click blocker Masonry batch 9,0.592,True
-5,11,-0.113,1.000,Click blocker Masonry batch 0,0.006,True
-4,11,-0.110,1.000,Click blocker Masonry batch 0,0.004,True
-3,11,-0.108,1.000,Click blocker Masonry batch 0,0.004,True
-2,11,-0.106,1.000,Click blocker Masonry batch 0,0.015,True
-1,11,-0.103,1.000,Click blocker Masonry batch 0,0.027,True
0,11,-0.099,1.000,Click blocker Masonry batch 0,0.038,True
1,11,-0.095,1.000,Click blocker Masonry batch 0,0.030,True
2,11,-0.095,1.000,Click blocker Masonry batch 0,0.027,True
3,11,-0.097,1.000,Click blocker Masonry batch 0,0.025,True
4,11,-0.099,1.000,Click blocker Masonry batch 0,0.023,True
5,11,-0.102,1.000,Click blocker Masonry batch 0,0.023,True
6,11,-0.108,1.000,Click blocker Masonry batch 0,0.085,True
7,11,-0.130,1.000,Click blocker Masonry batch 0,0.236,True
8,11,0.121,0.541,Click blocker Masonry batch 1,-1.000,False
9,11,2.319,0.998,Click blocker Masonry batch 6,-1.000,False
-9,12,2.389,1.000,Click blocker Masonry batch 1,-1.000,False
-8,12,0.281,0.966,Click blocker Masonry batch 1,-1.000,False
-7,12,-0.131,1.000,Click blocker Masonry batch 0,0.236,True
-6,12,-0.122,1.000,Click blocker Masonry batch 0,0.015,True
-5,12,-0.113,1.000,Click blocker Masonry batch 0,0.007,True
-4,12,-0.111,1.000,Click blocker Masonry batch 0,0.006,True
-3,12,-0.109,1.000,Click blocker Masonry batch 0,0.012,True
-2,12,-0.106,1.000,Click blocker Masonry batch 0,0.020,True
-1,12,-0.097,1.000,Click blocker Masonry batch 0,0.024,True
0,12,-0.094,1.000,Click blocker Masonry batch 0,0.036,True
1,12,-0.091,1.000,Click blocker Masonry batch 0,0.029,True
2,12,-0.097,1.000,Click blocker Masonry batch 0,0.031,True
3,12,-0.099,1.000,Click blocker Masonry batch 0,0.029,True
4,12,-0.101,1.000,Click blocker Masonry batch 0,0.027,True
5,12,-0.103,1.000,Click blocker Masonry batch 0,0.025,True
6,12,-0.106,1.000,Click blocker Masonry batch 0,0.166,True
7,12,-0.128,1.000,Click blocker Masonry batch 0,0.199,True
8,12,0.300,1.000,Click blocker Masonry batch 1,-1.000,False
9,12,2.118,1.000,Click blocker Masonry batch 1,-1.000,False
-9,13,1.352,1.000,Click blocker Masonry batch 1,-1.000,False
-8,13,-0.143,1.000,Click blocker Masonry batch 0,0.027,True
-7,13,-0.126,1.000,Click blocker Masonry batch 0,0.009,True
-6,13,-0.122,1.000,Click blocker Masonry batch 0,0.280,True
-5,13,-0.113,1.000,Click blocker Masonry batch 0,0.007,True
-4,13,-0.110,1.000,Click blocker Masonry batch 0,0.013,True
-3,13,-0.108,1.000,Click blocker Masonry batch 0,0.019,True
-2,13,-0.102,1.000,Click blocker Masonry batch 0,0.022,True
-1,13,-0.083,1.000,Click blocker Masonry batch 0,0.013,True
0,13,-0.079,1.000,Click blocker Masonry batch 0,0.025,True
1,13,-0.082,1.000,Click blocker Masonry batch 0,0.024,True
2,13,-0.095,1.000,Click blocker Masonry batch 0,0.032,True
3,13,-0.099,1.000,Click blocker Masonry batch 0,0.033,True
4,13,-0.101,1.000,Click blocker Masonry batch 0,0.034,True
5,13,-0.103,1.000,Click blocker Masonry batch 0,0.062,True
6,13,-0.106,1.000,Click blocker Masonry batch 0,0.140,True
7,13,-0.127,1.000,Click blocker Masonry batch 0,0.030,True
8,13,-0.149,1.000,Click blocker Masonry batch 0,0.081,True
9,13,1.353,1.000,Click blocker Masonry batch 0,-1.000,False
-9,14,1.268,0.999,Click blocker Masonry batch 6,-1.000,False
-8,14,-0.133,0.999,Click blocker Masonry batch 0,0.035,True
-7,14,-0.119,1.000,Click blocker Masonry batch 0,0.011,True
-6,14,-0.122,1.000,Click blocker Masonry batch 0,0.268,True
-5,14,-0.112,1.000,Click blocker Masonry batch 0,0.012,True
-4,14,-0.110,1.000,Click blocker Masonry batch 0,0.019,True
-3,14,-0.108,1.000,Click blocker Masonry batch 0,0.026,True
-2,14,-0.097,1.000,Click blocker Masonry batch 0,0.025,True
-1,14,-0.078,1.000,Click blocker Masonry batch 0,0.015,True
0,14,-0.065,1.000,Click blocker Masonry batch 0,0.014,True
1,14,-0.074,1.000,Click blocker Masonry batch 0,0.020,True
2,14,-0.089,1.000,Click blocker Masonry batch 0,0.035,True
3,14,-0.097,1.000,Click blocker Masonry batch 0,0.043,True
4,14,-0.102,1.000,Click blocker Masonry batch 0,0.048,True
5,14,-0.104,1.000,Click blocker Masonry batch 0,0.050,True
6,14,-0.106,1.000,Click blocker Masonry batch 0,0.052,True
7,14,-0.126,1.000,Click blocker Masonry batch 0,0.033,True
8,14,-0.153,0.999,Click blocker Masonry batch 0,0.082,True
9,14,1.353,1.000,Click blocker Masonry batch 0,-1.000,False
-9,15,1.350,1.000,Click blocker Masonry batch 1,-1.000,False
-8,15,-0.118,1.000,Click blocker Masonry batch 0,0.028,True
-7,15,-0.116,1.000,Click blocker Masonry batch 0,0.029,True
-6,15,-0.120,1.000,Click blocker Masonry batch 0,0.072,True
-5,15,-0.112,1.000,Click blocker Masonry batch 0,0.030,True
-4,15,-0.110,1.000,Click blocker Masonry batch 0,0.031,True
-3,15,-0.110,1.000,Click blocker Masonry batch 0,0.034,True
-2,15,-0.093,1.000,Click blocker Masonry batch 0,0.024,True
-1,15,-0.073,1.000,Click blocker Masonry batch 0,0.018,True
0,15,-0.053,1.000,Click blocker Masonry batch 0,0.003,True
1,15,-0.066,1.000,Click blocker Masonry batch 0,0.014,True
2,15,-0.084,1.000,Click blocker Masonry batch 0,0.032,True
3,15,-0.092,1.000,Click blocker Masonry batch 0,0.040,True
4,15,-0.100,1.000,Click blocker Masonry batch 0,0.048,True
5,15,-0.104,1.000,Click blocker Masonry batch 0,0.053,True
6,15,-0.107,1.000,Click blocker Masonry batch 0,0.058,True
7,15,-0.126,1.000,Click blocker Masonry batch 0,0.011,True
8,15,-0.158,0.999,Click blocker Masonry batch 0,0.084,True
9,15,1.274,1.000,Click blocker Masonry batch 6,-1.000,False
-9,16,1.351,1.000,Click blocker Masonry batch 1,-1.000,False
-8,16,-0.110,1.000,Click blocker Masonry batch 0,0.025,True
-7,16,-0.114,1.000,Click blocker Masonry batch 0,0.025,True
-6,16,-0.118,1.000,Click blocker Masonry batch 0,0.069,True
-5,16,-0.112,1.000,Click blocker Masonry batch 0,0.013,True
-4,16,-0.109,1.000,Click blocker Masonry batch 0,0.023,True
-3,16,-0.107,1.000,Click blocker Masonry batch 0,0.035,True
-2,16,-0.088,1.000,Click blocker Masonry batch 0,0.030,True
-1,16,-0.073,1.000,Click blocker Masonry batch 0,0.030,True
0,16,-0.066,1.000,Click blocker Masonry batch 0,0.004,True
1,16,-0.064,1.000,Click blocker Masonry batch 0,0.013,True
